frame,numero_pers,joint,x,y,confience
0,0,0,1920.04,606.899,0.839885
0,0,1,1920.03,648.127,0.8742479999999999
0,0,2,1866.97,648.133,0.881099
0,0,3,1855.05,730.776,0.9842789999999999
0,0,4,1896.37,777.829,0.937726
0,0,5,1978.97,642.365,0.873649
0,0,6,1996.32,724.685,0.920704
0,0,7,1955.49,772.011,0.9511879999999999
0,0,8,1920.03,771.924,0.8684769999999999
0,0,9,1890.61,771.95,0.880683
0,0,10,1861.02,830.915,0.809066
0,0,11,1855.25,966.373,0.876811
0,0,12,1955.43,771.851,0.9148149999999999
0,0,13,1978.9,830.661,0.7735179999999999
0,0,14,1978.94,966.274,0.8169759999999999
0,0,15,1908.45,589.583,0.921711
0,0,16,1943.31,589.564,0.8923439999999999
0,0,17,1902.2,589.566,0.835328
0,0,18,1949.7,589.626,0.852166
0,0,19,1961.22,1007.16,0.7008200000000001
0,0,20,1996.29,1001.54,0.705911
0,0,21,1978.79,978.029,0.6301939999999999
0,0,22,1855.38,1007.47,0.7297239999999999
0,0,23,1831.74,1007.17,0.660763
0,0,24,1861.06,977.959,0.714213
0,1,0,1166.22,1007.43,0.9386049999999999
0,1,1,1213.48,1030.91,0.839394
0,1,2,1178.04,1019.25,0.815112
0,1,3,1154.45,1095.49,0.7708809999999999
0,1,4,1142.87,1107.3,0.875575
0,1,5,1254.87,1042.68,0.8519589999999999
0,1,6,1289.98,1131.03,0.892762
0,1,7,1201.5,1142.7,0.9154200000000001
0,1,8,1242.77,1189.84,0.919051
0,1,9,1202.02,1189.74,0.8827659999999999
0,1,10,1219.42,1301.99,0.815384
0,1,11,1331.14,1348.99,0.863224
0,1,12,1260.64,1189.99,0.85806
0,1,13,1242.56,1331.05,0.929952
0,1,14,1248.54,1466.63,0.8944059999999999
0,1,15,1160.36,1001.22,0.514073
0,1,16,1183.97,1001.34,0.880254
0,1,17,0,0,0
0,1,18,1213.36,989.602,0.8378200000000001
0,1,19,1195.89,1484.58,0.873732
0,1,20,1219.31,1496.14,0.813256
0,1,21,1254.76,1478.42,0.791643
0,1,22,1331.12,1407.71,0.7428049999999999
0,1,23,1331.03,1395.95,0.763501
0,1,24,1342.87,1348.86,0.796751
0,2,0,2497.05,1814.18,0.659538
0,2,1,2615.12,1855.07,0.90746
0,2,2,2656.14,1807.85,0.883041
0,2,3,2602.91,1896.45,0.547748
0,2,4,2520.88,1943.43,0.821619
0,2,5,2591.19,1902.39,0.808504
0,2,6,2526.69,2090.62,0.887195
0,2,7,2391,2149.74,0.793574
0,2,8,2655.77,2149.71,0.5712229999999999
0,2,9,2691.24,2149.64,0.458955
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,2615.01,2149.75,0.595528
0,2,13,2520.76,2149.76,0.11412299999999999
0,2,14,0,0,0
0,2,15,0,0,0
0,2,16,2508.68,1808.03,0.7169179999999999
0,2,17,0,0,0
0,2,18,2555.72,1802.34,0.801006
0,2,19,0,0,0
0,2,20,0,0,0
0,2,21,0,0,0
0,2,22,0,0,0
0,2,23,0,0,0
0,2,24,0,0,0
1,0,0,1154.39,1007.55,0.9742419999999999
1,0,1,1201.84,1036.76,0.875536
1,0,2,1160.42,1019.35,0.846097
1,0,3,1148.57,1095.75,0.7853800000000001
1,0,4,1119.29,1101.27,0.791345
1,0,5,1248.73,1048.6,0.9046339999999999
1,0,6,1260.68,1148.45,0.886075
1,0,7,1178.19,1130.92,0.8479679999999999
1,0,8,1230.95,1195.58,0.878575
1,0,9,1195.9,1189.9,0.913882
1,0,10,1195.62,1307.65,0.9026989999999999
1,0,11,1289.74,1349.11,0.840687
1,0,12,1248.95,1195.78,0.913987
1,0,13,1236.95,1331.14,0.878478
1,0,14,1248.64,1466.69,0.9157369999999999
1,0,15,1148.8,1001.38,0.41955899999999996
1,0,16,1160.5,1001.56,0.9000119999999999
1,0,17,0,0,0
1,0,18,1201.53,1001.26,0.9004329999999999
1,0,19,1195.87,1484.49,0.9787
1,0,20,1219.37,1496.13,0.859557
1,0,21,1260.67,1478.33,0.759647
1,0,22,1295.68,1396.09,0.5606059999999999
1,0,23,1289.93,1390.08,0.570473
1,0,24,1301.74,1348.88,0.800723
1,1,0,1920.02,606.901,0.8405549999999999
1,1,1,1920.04,648.142,0.874092
1,1,2,1866.98,648.141,0.880115
1,1,3,1855.06,730.776,0.9875069999999999
1,1,4,1896.32,777.841,0.934566
1,1,5,1978.96,642.383,0.8732789999999999
1,1,6,1996.31,724.742,0.9282279999999999
1,1,7,1955.46,772.036,0.9547059999999999
1,1,8,1920,771.933,0.870263
1,1,9,1890.56,771.955,0.880976
1,1,10,1861.12,836.715,0.8067259999999999
1,1,11,1855.26,966.408,0.883262
1,1,12,1955.41,771.866,0.917995
1,1,13,1978.78,830.81,0.774276
1,1,14,1978.96,966.309,0.8232539999999999
1,1,15,1908.44,589.581,0.9217839999999999
1,1,16,1937.76,589.574,0.891111
1,1,17,1902.22,589.56,0.8253729999999999
1,1,18,1949.7,589.636,0.854634
1,1,19,1961.18,1007.21,0.719413
1,1,20,1996.26,1007.07,0.7197300000000001
1,1,21,1978.85,978.043,0.640829
1,1,22,1855.35,1007.49,0.745803
1,1,23,1831.7,1007.17,0.676628
1,1,24,1861.08,977.982,0.726646
1,2,0,2467.79,1814.35,0.567819
1,2,1,2608.57,1855.41,0.8814179999999999
1,2,2,2626.58,1802.04,0.7817879999999999
1,2,3,2579.42,1919.98,0.42669599999999996
1,2,4,2508.91,1949.34,0.80864
1,2,5,2567.5,1908.2,0.8263349999999999
1,2,6,2508.75,2090.43,0.868451
1,2,7,2349.93,2149.79,0.658704
1,2,8,2620.61,2149.74,0.539629
1,2,9,2661.78,2149.66,0.440436
1,2,10,0,0,0
1,2,11,0,0,0
1,2,12,2591.21,2149.77,0.519923
1,2,13,2479.35,2149.76,0.0673542
1,2,14,0,0,0
1,2,15,2467.92,1808.21,0.05777
1,2,16,2473.46,1808.07,0.599389
1,2,17,2562.09,1772.95,0.0755634
1,2,18,2520.54,1807.91,0.7433259999999999
1,2,19,0,0,0
1,2,20,0,0,0
1,2,21,0,0,0
1,2,22,0,0,0
1,2,23,0,0,0
1,2,24,0,0,0
2,0,0,1919.94,606.882,0.842017
2,0,1,1920.02,648.124,0.874626
2,0,2,1866.95,648.128,0.8817039999999999
2,0,3,1855.05,730.768,0.988718
2,0,4,1896.33,777.848,0.9341569999999999
2,0,5,1978.96,642.366,0.873054
2,0,6,1996.33,724.721,0.928763
2,0,7,1955.47,772.034,0.955888
2,0,8,1919.98,771.913,0.8717
2,0,9,1890.55,771.935,0.879859
2,0,10,1861.1,836.578,0.811148
2,0,11,1855.25,966.383,0.8816400000000001
2,0,12,1955.4,771.843,0.9173159999999999
2,0,13,1978.91,825.072,0.781227
2,0,14,1984.72,966.145,0.8302379999999999
2,0,15,1908.38,589.572,0.926658
2,0,16,1937.68,589.555,0.889133
2,0,17,1902.17,589.541,0.8260719999999999
2,0,18,1949.65,589.601,0.864072
2,0,19,1961.32,1007.11,0.695182
2,0,20,1996.35,1001.45,0.709749
2,0,21,1984.61,977.842,0.640682
2,0,22,1855.32,1007.55,0.7490709999999999
2,0,23,1831.63,1007.22,0.684109
2,0,24,1861.06,977.955,0.726576
2,1,0,1142.68,1007.56,0.9513889999999999
2,1,1,1196.02,1042.54,0.8923709999999999
2,1,2,1154.72,1025.12,0.8467359999999999
2,1,3,1142.64,1107.32,0.755234
2,1,4,1107.48,1101.27,0.8102469999999999
2,1,5,1237.09,1048.57,0.884331
2,1,6,1243.03,1148.51,0.9558989999999999
2,1,7,1154.75,1113.4,0.918539
2,1,8,1201.94,1196,0.919524
2,1,9,1184.04,1195.76,0.889459
2,1,10,1154.61,1301.99,0.885782
2,1,11,1248.91,1366.55,0.8484800000000001
2,1,12,1242.63,1201.62,0.914925
2,1,13,1225.22,1336.91,0.827355
2,1,14,1248.52,1460.83,0.9088919999999999
2,1,15,1136.81,1001.27,0.168754
2,1,16,1148.64,1007.02,0.9489489999999999
2,1,17,0,0,0
2,1,18,1189.67,1001.26,0.870327
2,1,19,1195.87,1490.06,1.01105
2,1,20,1219.27,1496.14,0.8743500000000001
2,1,21,1260.6,1478.14,0.784246
2,1,22,1237.04,1419.45,0.448042
2,1,23,1242.7,1401.76,0.41262299999999996
2,1,24,1278.29,1366.44,0.703649
2,2,0,2444.13,1825.92,0.601305
2,2,1,2567.97,1855.13,0.896592
2,2,2,2608.8,1802.05,0.8239400000000001
2,2,3,2561.72,1902.49,0.45678599999999997
2,2,4,2485.26,1949.27,0.765268
2,2,5,2549.88,1902.54,0.800318
2,2,6,2473.33,2084.87,0.892594
2,2,7,2332.45,2149.8,0.583028
2,2,8,2614.68,2149.72,0.5536789999999999
2,2,9,2656.01,2108.49,0.463364
2,2,10,2467.31,2149.72,0.0521417
