frame,numero_pers,joint,x,y,tracking
2,0,0,353.734,362.59,0
2,0,1,321.344,433.084,0
2,0,2,259.464,441.952,0
2,0,3,244.896,524.342,0
2,0,4,244.861,574.467,0
2,0,5,388.929,415.521,0
2,0,6,433.248,503.796,0
2,0,7,456.63,480.35,0
2,0,8,362.536,621.496,0
2,0,9,318.405,624.439,0
2,0,10,318.476,756.895,0
2,0,11,338.981,886.424,0
2,0,12,406.603,618.522,0
2,0,13,400.79,742.161,0
2,0,14,400.745,856.962,0
2,0,15,338.957,350.731,0
2,0,16,362.454,344.978,0
2,0,17,297.799,362.491,0
2,0,18,0,0,0
2,0,19,459.781,874.631,0
2,0,20,456.806,860.026,0
2,0,21,386.151,871.67,0
2,0,22,386.04,921.759,0
2,0,23,365.453,927.547,0
2,0,24,336.015,903.985,0
2,1,0,1639.83,315.4,1
2,1,1,1704.76,391.977,1
2,1,2,1669.38,394.859,1
2,1,3,1663.51,500.897,1
2,1,4,1613.43,530.355,1
2,1,5,1740.02,391.941,1
2,1,6,1769.35,509.734,1
2,1,7,1657.59,553.992,1
2,1,8,1681.13,595.005,1
2,1,9,1648.77,594.984,1
2,1,10,1639.85,721.597,1
2,1,11,1639.89,856.979,1
2,1,12,1710.52,594.976,1
2,1,13,1707.57,745.096,1
2,1,14,1725.16,924.651,1
2,1,15,1639.83,297.83,1
2,1,16,1657.65,297.76,1
2,1,17,0,0,1
2,1,18,1707.48,312.36,1
2,1,19,1654.58,948.16,1
2,1,20,1672.26,951.295,1
2,1,21,1734.17,936.509,1
2,1,22,1569.32,859.985,1
2,1,23,1581.04,856.943,1
2,1,24,1657.5,877.615,1
3,0,0,356.584,362.567,0
3,0,1,318.539,433.067,0
3,0,2,256.537,442.022,0
3,0,3,247.708,527.218,0
3,0,4,247.899,571.534,0
3,0,5,386.149,415.447,0
3,0,6,433.091,506.658,0
3,0,7,433.218,483.186,0
3,0,8,362.545,621.443,0
3,0,9,318.428,624.403,0
3,0,10,318.482,756.895,0
3,0,11,338.991,886.433,0
3,0,12,406.6,615.635,0
3,0,13,400.81,742.144,0
3,0,14,400.773,856.985,0
3,0,15,338.995,347.876,0
3,0,16,362.47,344.963,0
3,0,17,297.818,362.474,0
3,0,18,0,0,0
3,0,19,462.542,874.663,0
3,0,20,459.545,860.054,0
3,0,21,386.173,871.74,0
3,0,22,386.033,921.756,0
3,0,23,365.459,927.535,0
3,0,24,336.029,903.997,0
3,1,0,1637.12,315.407,1
3,1,1,1704.75,391.978,1
3,1,2,1669.36,392.04,1
3,1,3,1660.59,497.883,1
3,1,4,1613.36,530.175,1
3,1,5,1742.85,391.994,1
3,1,6,1766.46,509.777,1
3,1,7,1657.62,553.993,1
3,1,8,1681.19,594.935,1
3,1,9,1651.65,592.088,1
3,1,10,1639.85,721.579,1
3,1,11,1639.88,857,1
3,1,12,1710.59,592.131,1
3,1,13,1707.57,742.28,1
3,1,14,1725.15,924.629,1
3,1,15,1637.12,297.814,1
3,1,16,1657.66,297.78,1
3,1,17,0,0,1
3,1,18,1707.5,312.392,1
3,1,19,1654.6,948.133,1
3,1,20,1672.29,951.269,1
3,1,21,1734.17,936.494,1
3,1,22,1569.3,859.994,1
3,1,23,1581.03,856.952,1
3,1,24,1657.48,877.642,1
4,0,0,356.636,362.558,0
4,0,1,318.499,433.086,0
4,0,2,256.559,442.016,0
4,0,3,247.743,530.32,0
4,0,4,250.739,571.439,0
4,0,5,386.037,415.512,0
4,0,6,436.216,503.766,0
4,0,7,415.496,497.925,0
4,0,8,362.499,621.5,0
4,0,9,318.388,624.474,0
4,0,10,318.476,756.854,0
4,0,11,338.99,886.445,0
4,0,12,403.777,618.497,0
4,0,13,400.759,742.133,0
4,0,14,400.762,856.978,0
4,0,15,339.037,347.818,0
4,0,16,362.515,344.966,0
4,0,17,297.846,362.43,0
4,0,18,0,0,0
4,0,19,462.539,874.606,0
4,0,20,459.542,860.016,0
4,0,21,386.174,871.718,0
4,0,22,386.051,921.755,0
4,0,23,365.474,927.548,0
4,0,24,336.024,904.016,0
4,1,0,1639.87,315.389,1
4,1,1,1704.74,391.949,1
4,1,2,1669.33,391.984,1
4,1,3,1660.54,497.932,1
4,1,4,1613.34,530.17,1
4,1,5,1740.01,391.98,1
4,1,6,1766.45,509.747,1
4,1,7,1657.58,553.984,1
4,1,8,1681.15,594.948,1
4,1,9,1648.76,592.103,1
4,1,10,1637.09,721.682,1
4,1,11,1639.9,857.003,1
4,1,12,1710.57,594.958,1
4,1,13,1707.56,742.305,1
4,1,14,1725.16,924.63,1
4,1,15,1637.12,297.766,1
4,1,16,1660.37,297.757,1
4,1,17,0,0,1
4,1,18,1707.51,312.385,1
4,1,19,1654.59,948.146,1
4,1,20,1672.27,951.278,1
4,1,21,1734.18,936.507,1
4,1,22,1569.31,860.023,1
4,1,23,1581.03,856.971,1
4,1,24,1657.52,877.638,1
5,0,0,359.492,362.541,0
5,0,1,318.489,433.146,0
5,0,2,256.535,442.043,0
5,0,3,244.92,530.414,0
5,0,4,268.338,565.64,0
5,0,5,386.033,415.607,0
5,0,6,436.105,503.724,0
5,0,7,394.935,503.651,0
5,0,8,362.523,621.482,0
5,0,9,318.414,624.449,0
5,0,10,318.485,753.987,0
5,0,11,338.996,886.455,0
5,0,12,406.572,615.672,0
5,0,13,400.766,742.124,0
5,0,14,400.748,856.952,0
5,0,15,339.107,347.805,0
5,0,16,362.597,344.943,0
5,0,17,300.693,362.397,0
5,0,18,0,0,0
5,0,19,459.769,874.617,0
5,0,20,456.786,860.017,0
5,0,21,386.157,871.678,0
5,0,22,386.043,921.745,0
5,0,23,365.464,927.541,0
5,0,24,336.03,904.016,0
5,1,0,1639.85,315.388,1
